Power,concentration,PMT 1,PMT 2,Intensity,NA
5,12,0.9,,1407.33,hiNA
5,10,0.9,,1015.158,
5,10,0.9,,1375.015,hiNA
4,16,,0.75,1155.754,
4,20,,0.75,1630.12,
4,18,,0.75,1378.589,
4,14,,0.75,956.025,
4,20,,0.65,623.831,
4,18,,0.65,535.56,
4,16,,0.65,463.212,
4,14,,0.65,396.716,
4,20,,0.8,2478.053,
4,18,,0.8,2154.811,
4,16,,0.8,1830.909,
4,14,,0.8,1524.003,
4,12,,0.8,1241.379,
4,10,,0.8,997.6,
4,20,,0.7,1031.313,
4,18,,0.7,872.317,
4,16,,0.7,733.135,
4,14,,0.7,612.64,
4,20,0.85,,456.716,
4,18,0.85,,460.125,
4,16,0.85,,456.509,
4,20,0.75,,169.011,
4,18,0.75,,171.313,
4,20,0.65,,54.549,
4,18,0.65,,54.144,
4,20,0.9,,752.209,
4,18,0.9,,758.086,
4,16,0.9,,762.679,
4,14,0.9,,754.915,
4,12,0.9,,754.827,
4,10,0.9,,764.662,
4,20,0.8,,280.116,
4,18,0.8,,281.93,
4,16,0.8,,280.613,
4,20,0.7,,87.205,
4,18,0.7,,87.608,
2.5,20,,0.75,975.166,
2.5,18,,0.75,893.831,
2.5,16,,0.75,819.157,
2.5,14,,0.75,774.09,
2.5,20,,0.65,406.815,
2.5,18,,0.65,379.485,
2.5,16,,0.65,357.675,
2.5,14,,0.65,337.809,
2.5,20,,0.8,1515.134,
2.5,20,,0.8,444.375,hiNA
2.5,18,,0.8,1391.45,
2.5,16,,0.8,1264.878,
2.5,16,,0.8,465.568,hiNA
2.5,14,,0.8,1174.14,
2.5,14,,0.8,462.446,hiNA
2.5,12,,0.8,1074.353,
2.5,12,,0.8,459.477,hiNA
2.5,10,,0.8,993.452,
2.5,10,,0.8,465.689,hiNA
2.5,20,,0.7,611.609,
2.5,18,,0.7,562.743,
2.5,16,,0.7,520.93,
2.5,14,,0.7,485.287,
2.5,20,,0.6,272.546,
2.5,18,,0.6,260.362,
2.5,16,,0.6,250.805,
2.5,14,,0.6,242.019,
2.5,20,0.85,,688.886,
2.5,18,0.85,,677.214,
2.5,16,0.85,,676.172,
2.5,14,0.85,,687.763,
2.5,20,0.75,,256.148,
2.5,18,0.75,,256.141,
2.5,16,0.75,,256.483,
2.5,14,0.75,,255.551,
2.5,20,0.65,,72.142,
2.5,10,0.9,,1166.383,
2.5,20,0.9,,1579.193,hiNA
2.5,18,0.9,,1168.941,
2.5,18,0.9,,1565.991,hiNA
2.5,16,0.9,,1166.14,
2.5,16,0.9,,1565.806,hiNA
2.5,14,0.9,,1169.602,
2.5,14,0.9,,1565.466,hiNA
2.5,12,0.9,,1121.632,
2.5,12,0.9,,1577.58,hiNA
2.5,10,0.9,,1166.383,
2.5,10,0.9,,1492.774,hiNA
2.5,20,0.8,,427.915,
2.5,18,0.8,,427.881,
2.5,16,0.8,,427.294,
2.5,14,0.8,,427.148,
2.5,20,0.7,,141.477,
2.5,18,0.7,,141.469,
2.5,16,0.7,,141.803,
2.5,14,0.7,,142.144,
2.5,20,0.6,,43.534,
1,20,,0.75,455.631,
1,18,,0.75,424.898,
1,16,,0.75,399.546,
1,20,,0.65,282.706,
1,18,,0.65,275.115,
1,20,,0.8,830.45,
1,18,,0.8,778.681,
1,16,,0.8,732.499,
1,14,,0.8,689.797,
1,12,,0.8,651.729,
1,10,,0.8,613.904,
1,10,,0.8,620.393,
1,20,,0.7,320.306,
1,18,,0.7,302.173,
1,16,,0.7,297.783,
1,20,,0.6,216.866,
1,18,,0.6,212.32,
1,16,,0.6,208.631,
1,20,,0.5,152.829,
1,18,,0.5,153.305,
1,16,,0.5,152.726,
1,20,0.85,,669.41,
1,20,0.85,,649.229,
1,18,0.85,,643.755,
1,16,0.85,,638.207,
1,20,0.75,,223.545,
1,18,0.75,,218.605,
1,16,0.75,,218.199,
1,20,0.65,,86.489,
1,20,0.9,,784.539,
1,18,0.9,,857.845,
1,16,0.9,,836.74,
1,14,0.9,,829.303,
1,12,0.9,,822.43,
1,10,0.9,,818.12,
1,18,0.8,,421.576,
1,16,0.8,,387.422,
1,20,0.7,,127.717,
1,20,0.6,,43.792,
1,18,0.6,,40.788,
1.5,20,,0.75,467.518,
1.5,18,,0.75,433.12,
1.5,16,,0.75,403.609,
1.5,14,,0.75,377.415,
1.5,20,,0.65,241.125,
1.5,18,,0.65,231.242,
1.5,16,,0.65,224.189,
1.5,14,,0.65,217.9,
1.5,20,,0.8,650.556,
1.5,18,,0.8,621.508,
1.5,16,,0.8,578.016,
1.5,14,,0.8,531.94,
1.5,12,,0.8,497.617,
1.5,10,,0.8,464.939,
1.5,20,,0.7,328.401,
1.5,18,,0.7,310.524,
1.5,16,,0.7,292.663,
1.5,14,,0.7,280.025,
1.5,20,0.85,,660.884,
1.5,18,0.85,,655.847,
1.5,16,0.85,,648.87,
1.5,14,0.85,,642.117,
1.5,20,0.75,,225.709,
1.5,18,0.75,,223.138,
1.5,16,0.75,,220.604,
1.5,14,0.75,,217.69,
1.5,20,0.65,,62.74,
1.5,20,0.9,,989.623,
1.5,18,0.9,,975.011,
1.5,16,0.9,,963.122,
1.5,14,0.9,,953.555,
1.5,12,0.9,,945.62,
1.5,10,0.9,,939.894,
1.5,20,0.8,,397.637,
1.5,18,0.8,,393.217,
1.5,16,0.8,,384.171,
1.5,14,0.8,,387.696,
1.5,14,0.8,,382.585,
1.5,20,0.7,,123.378,
1.5,20,0.6,,39.032,
1.5,20,0.5,,24.356,
